name	id	prev	n	estimate	lower	upper	se	p.value	q.value	HL1	HL2
anaerobic fatty acid beta-oxidation	MF0059	0.999442772762733	8973	0.114046695290637	0.0739907013286106	0.154102689252664	0.0204343123268191	2.46001243171775e-08	2.53381280466928e-06	lipid degradation	beta-oxidation
pyruvate:formate lyase	MF0074	1	8973	0.104913286561146	0.0642895427164168	0.145537030405876	0.0207239433653976	4.22316244826444e-07	1.72137313364344e-05	central metabolism	energy metabolism
nitrate reduction (dissimilatory)	MF0101	1	8973	0.102654657672868	0.0621677428617239	0.143141572484012	0.0206541438017096	6.81476624224771e-07	1.72137313364344e-05	inorganic nutrient metabolism	nitrogen
lysine degradation II	MF0058	1	8973	0.101989407215154	0.0616230930053086	0.142355721425	0.0205926190410968	7.45386836498887e-07	1.72137313364344e-05	amino acid degradation	positively charged amino acid degradation
lactate consumption I	MF0079	1	8973	0.100480349728711	0.0603597514426992	0.140600948014724	0.0204672702876868	9.30267326256921e-07	1.72137313364344e-05	organic acid metabolism	lactate metabolism
threonine degradation I	MF0049	1	8973	0.102016986331985	0.0611598912911042	0.142874081372867	0.0208429870790803	1.00274163124861e-06	1.72137313364344e-05	amino acid degradation	polar, uncharged amino acid degradation
fucose degradation	MF0016	1	8973	0.0960551042434478	0.0558841822566451	0.13622602623025	0.0204929434436002	2.81065676695849e-06	4.13568067138178e-05	organic acid metabolism	propionate metabolism
proline degradation	MF0040	1	8973	0.0945941700211921	0.0542262091128405	0.134962130929544	0.0205934616383481	4.4208881950324e-06	5.69189355110422e-05	amino acid degradation	nonpolar, aliphatic amino acid degradation
sucrose degradation II	MF0011	1	8973	0.0949868127420257	0.0537906928701159	0.136182932613935	0.0210159398146288	6.27165486805948e-06	7.17756057122363e-05	carbohydrate degradation	disaccharide degradation
asparagine degradation	MF0042	1	8973	0.0918274320996683	0.0511309700540658	0.132523894145271	0.0207610440822808	9.84731991103782e-06	0.00010142739508369	amino acid degradation	polar, uncharged amino acid degradation
lactate consumption II	MF0080	1	8973	0.0904221905994426	0.0495866012676473	0.131257779931238	0.0208320177872909	1.43713664758878e-05	0.000134568249728767	organic acid metabolism	propionate metabolism
trehalose degradation	MF0012	1	8973	0.0824315440330711	0.0420979091107864	0.122765178955356	0.0205759504447024	6.2206190959558e-05	0.000533936472402873	carbohydrate degradation	disaccharide degradation
propionate production I	MF0093	0.42984509082804	8973	0.0808283100313699	0.0407432872791795	0.12091333278356	0.0204491207710993	7.7890384559392e-05	0.000617131508432106	organic acid metabolism	propionate metabolism
glycerol degradation I	MF0060	1	8973	0.0775021982102502	0.0368637886579941	0.118140607762506	0.0207314289781758	0.000186368122516743	0.00137113690137318	lipid degradation	glycerol degradation
arginine degradation II	MF0052	0.584977153683272	8973	0.0757059662061789	0.0355775925663059	0.115834339846052	0.0204712373772269	0.00021847919286748	0.00150022379102337	amino acid degradation	positively charged amino acid degradation
succinate conversion to propionate	MF0084	0.38136632118578	8973	0.0746560095115356	0.0346058651295358	0.114706153893535	0.020431328467762	0.00025968250634093	0.00156499346459018	organic acid metabolism	succinate metabolism
propionate production III	MF0095	1	8973	-0.0755881817537782	-0.116203662463154	-0.0349727010444023	0.0207197318264661	0.000265678678009791	0.00156499346459018	organic acid metabolism	propionate metabolism
formate conversion	MF0077	1	8973	0.0753687372465875	0.0347880925394705	0.115949381953705	0.0207019605212133	0.000273494003520614	0.00156499346459018	organic acid metabolism	formate metabolism
propionate production II	MF0094	1	8973	0.0742047789997061	0.0340605558911496	0.114349002108263	0.0204793199635498	0.000292385419741132	0.00158503674912298	organic acid metabolism	propionate metabolism
isoleucine degradation	MF0036	1	8973	0.0738802581229536	0.0336834937648512	0.114077022481056	0.0205061251957103	0.000316487750862589	0.00162991191694233	amino acid degradation	nonpolar, aliphatic amino acid degradation
valine degradation I	MF0041	1	8973	0.0730950255721739	0.0328895854602207	0.113300465684127	0.0205105502662313	0.000367482287052329	0.00176362609842063	amino acid degradation	nonpolar, aliphatic amino acid degradation
NADH:ferredoxin oxidoreductase	MF0069	0.737991753036889	8973	0.0727442898727504	0.0326585157304824	0.112830064015018	0.0204495048737536	0.000376696836555862	0.00176362609842063	gas metabolism	hydrogen metabolism
galacturonate degradation I	MF0022	1	8973	0.0736026868290586	0.0323820290627443	0.114823344595373	0.0210284595848339	0.000467290589033225	0.00203493296339268	carbohydrate degradation	sugar acid degradation
sucrose degradation I	MF0010	1	8973	0.0730856533452618	0.0321089361996408	0.114062370490883	0.0209040145705066	0.000474159137101208	0.00203493296339268	carbohydrate degradation	disaccharide degradation
putrescine degradation	MF0082	0.629889669007021	8973	0.0698649983745081	0.0297786658163367	0.109951330932679	0.0204497906066026	0.00063736397409953	0.00262593957329006	amines and polyamines degradation	biogenic amine degradation
xylose degradation	MF0021	1	8973	0.0669316900422947	0.0267198367589938	0.107143543325596	0.0205138239899823	0.00110750936547519	0.00438744094784404	carbohydrate degradation	monosaccharide degradation
succinate production	MF0096	1	8973	0.0664005096162766	0.0253019532629983	0.107499065969555	0.0209661682790927	0.00154526956125401	0.00589491721515418	organic acid metabolism	succinate metabolism
phenylalanine degradation	MF0024	0.683717820127048	8973	0.0633129170791475	0.0231519126572135	0.103473921501081	0.0204878840525419	0.00200600728696397	0.00737924109133174	amino acid degradation	aromatic amino acid degradation
glutamate degradation II	MF0031	1	8973	0.0638933050020045	0.0228187139921873	0.104967896011822	0.020953944375833	0.00230109730532817	0.00817286284306211	amino acid degradation	negatively charged amino acid degradation
aspartate degradation II	MF0029	1	8973	0.0607751164105642	0.0198879316392869	0.101662301181842	0.0208583392897151	0.00358057442959569	0.0122933055416119	amino acid degradation	negatively charged amino acid degradation
tyrosine degradation I	MF0026	0.999554218210186	8973	0.0590413309335246	0.0186010371136824	0.0994816247533667	0.0206303609084584	0.00422142332828228	0.0140260194455831	amino acid degradation	aromatic amino acid degradation
pyruvate:ferredoxin oxidoreductase	MF0073	1	8973	-0.0581581629967657	-0.0986039068974875	-0.0177124190960438	0.0206331418989502	0.00483290075828217	0.0155558993157207	central metabolism	energy metabolism
urea degradation	MF0085	1	8973	0.0572714927585214	0.0167709112017008	0.097772074315342	0.0206611166036957	0.00558387481425529	0.0174284577535847	amines and polyamines degradation	urea degradation
lactose and galactose degradation	MF0007	1	8973	0.0552569621316416	0.014320473278797	0.0961934509844861	0.0208834925883516	0.00816025566898367	0.024720774526627	carbohydrate degradation	disaccharide degradation
glutamine degradation I	MF0046	1	8973	0.0545745341388029	0.0133813499108234	0.0957677183667823	0.0210144440865554	0.00941971434229445	0.0269916909700716	amino acid degradation	polar, uncharged amino acid degradation
arginine degradation I	MF0051	1	8973	0.0535032402630999	0.0131105820998519	0.0938958984263479	0.0206060574201384	0.00943398907691823	0.0269916909700716	amino acid degradation	positively charged amino acid degradation
4-aminobutyrate degradation	MF0076	1	8973	0.0520519056068744	0.0117555127479644	0.0923482984657844	0.0205569515899868	0.0113558569396036	0.0310464662919117	amino acid degradation	positively charged amino acid degradation
arabinoxylan degradation	MF0001	1	8973	-0.0517599228672608	-0.0918781478698366	-0.011641697864685	0.0204660512531094	0.0114540361076956	0.0310464662919117	carbohydrate degradation	polysaccharide degradation
cysteine biosynthesis/homocysteine degradation	MF0043	1	8973	-0.0515386790407908	-0.0930727381641282	-0.0100046199174534	0.0211883391608231	0.0150184918962842	0.0396642221876225	amino acid degradation	 polar, uncharged amino acid degradation
homoacetogenesis	MF0097	0.999888554552547	8973	0.049935163716654	0.00876836402977447	0.0911019634035335	0.0210009841767671	0.0174395677526101	0.0449068869629711	gas metabolism	acetogenesis
