name	id	level	prev	n	estimate	lower	upper	se	p.value	q.value	subspecies	species	genus	family	order	class	phylum	superkingdom
Eubacteriales sp.	HG3A.0100	order	0.651287194918088	8973	-0.138768502973248	-0.179175148439075	-0.0983618575074208	0.0206131946147884	1.77729677936502e-11	3.52793410703955e-08	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Escherichia coli	HG3A.0195	species	0.658865485344924	8973	0.127039376568867	0.0870818917665336	0.1669968613712	0.0203840592405895	4.8065048874975e-10	3.62118729850064e-07	unclassified	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Streptococcus anginosus	HG3A.0680	species	0.332441769753706	8973	0.126980417123101	0.0869099701009876	0.167050864145214	0.0204416866757897	5.47282715138636e-10	3.62118729850064e-07	unclassified	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus oralis subsp. oralis	HG3A.0705	subspecies	0.562465173297671	8973	0.119012082076995	0.0789145249985488	0.159109639155441	0.0204555154152886	6.1591982323068e-09	2.62361837011153e-06	Streptococcus oralis subsp. oralis	Streptococcus oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus parasanguinis	HG3A.0117	species	0.911846651064304	8973	0.119022094244962	0.0788394332830753	0.159204755206848	0.0204989320401519	6.60861050405927e-09	2.62361837011153e-06	unclassified	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Ligilactobacillus salivarius	HG3A.0919	species	0.0663100412348156	8973	0.111282306191023	0.0713756882822622	0.151188924099784	0.0203581099294059	4.72176728316807e-08	1.56211800951477e-05	unclassified	Ligilactobacillus salivarius	Ligilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Anaerotignum lactatifermentans	HG3A.0676	species	0.0942828485456369	8973	0.107925692233737	0.06785674682143	0.147994637646044	0.0204409203702182	1.3233236840256e-07	3.75256787541545e-05	unclassified	Anaerotignum lactatifermentans	Anaerotignum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp.	HG3A.0046	genus	0.857349827259557	8973	-0.0981288710974793	-0.138188674553307	-0.0580690676416513	0.0204362561844291	1.59900454068406e-06	0.000391192788089343	unclassified	unclassified	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
[Ruminococcus] torques	HG3A.0088	species	0.801849994427728	8973	0.0976158904039655	0.0575127518209361	0.137719028986995	0.0204583640550911	1.85838389600362e-06	0.000391192788089343	unclassified	[Ruminococcus] torques	Mediterraneibacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp.	HG3A.0243	genus	0.586314499052714	8973	0.0975973912048132	0.0573938964284917	0.137800885981135	0.0205095495985415	1.98007554906747e-06	0.000391192788089343	unclassified	unclassified	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Rothia mucilaginosa	HG3A.0559	species	0.313161707344255	8973	0.0962301542371774	0.0562414106201664	0.136218897854188	0.0204000047828686	2.4281820520537e-06	0.000391192788089343	unclassified	Rothia mucilaginosa	Rothia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
Streptococcus gordonii	HG3A.0713	species	0.403766856123927	8973	0.0964879792189547	0.0563427939116251	0.136633164526284	0.0204798135062023	2.49806025231958e-06	0.000391192788089343	unclassified	Streptococcus gordonii	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0142	family	0.624094505739441	8973	0.09689052839081	0.0565336296501743	0.137247427131446	0.0205878183488581	2.56196788169343e-06	0.000391192788089343	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0242	order	0.484899141870055	8973	-0.0934156142021108	-0.133481559619021	-0.0533496687852003	0.020439385685532	4.93464088116192e-06	0.000688040955097266	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Blautia obeum	HG3A.0009	species	0.961997102418366	8973	0.093272366320056	0.0531714658444157	0.133373266795696	0.0204572177918576	5.19930192768715e-06	0.000688040955097266	unclassified	Blautia obeum	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0072	family	0.806642148668227	8973	-0.0919663682832771	-0.132138942506586	-0.051793794059968	0.0204937858326798	7.29654878336234e-06	0.000905228083435891	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0084	order	0.725064081132286	8973	-0.0911931228617233	-0.131247632098608	-0.0511386136248387	0.0204335556284763	8.18537456557211e-06	0.00095576285368592	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0060	family	0.829265574501282	8973	-0.0902927288102743	-0.130327132106095	-0.0502583255144536	0.0204232980721632	9.93871813171707e-06	0.00107178683746844	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Parabacteroides distasonis	HG3A.0024	species	0.928674913629778	8973	0.0916441452181075	0.0509472937436836	0.132340996692531	0.0207612422378709	1.02589168321917e-05	0.00107178683746844	unclassified	Parabacteroides distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Eubacteriales sp.	HG3A.0190	order	0.626546305583417	8973	0.0897356519580574	0.0496416757215375	0.129829628194577	0.0204536897304134	1.16116691932616e-05	0.00115245816743122	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Streptococcus agalactiae	HG3A.1733	species	0.0347709796054831	8973	0.0886224468024237	0.0486840117347742	0.128560881870073	0.0203743399387799	1.378463854901e-05	0.00127333721295946	unclassified	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.1518	family	0.00824696311155689	8973	0.0885646226184937	0.0486047475917134	0.128524497645274	0.0203852786508749	1.41125534937572e-05	0.00127333721295946	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.1212	family	0.0622980051264906	8973	0.0878881590872427	0.0479217118002787	0.127854606374207	0.0203886311397733	1.64540752138633e-05	0.00142005823041386	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0511	order	0.26033656525131	8973	0.0857907030092183	0.0457636939010892	0.125817712117347	0.020419524179364	2.67867816071036e-05	0.00221549006208753	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Clostridium phoceensis	HG3A.0014	species	0.977153683272038	8973	0.0870630516196341	0.0461814462299399	0.127944657009328	0.0208554941380526	3.01386286120422e-05	0.00239300711179615	unclassified	Clostridium phoceensis	Clostridium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0439	order	0.625654742003789	8973	0.0854444664273817	0.0451655104392199	0.125723422415544	0.0205480554905616	3.23684762835091e-05	0.00247120867010637	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0226	order	0.38972472974479	8973	-0.0847394617574863	-0.124835132999342	-0.044643790515631	0.0204545530229779	3.46258036052588e-05	0.0025456377835718	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0085	order	0.74445558898919	8973	-0.0839268663384803	-0.124065472051712	-0.0437882606252486	0.0204764574227263	4.19184943613107e-05	0.00289682014691766	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp.	HG3A.0372	genus	0.422043909506297	8973	0.0837949306179977	0.0436977212040282	0.123892140031967	0.0204553390234318	4.23213018945149e-05	0.00289682014691766	unclassified	unclassified	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Limosilactobacillus oris	HG3A.1462	species	0.0275270255210075	8973	0.0830254812758936	0.0430570247020713	0.122993937849716	0.020389655310475	4.70290730351045e-05	0.00311175699915608	unclassified	Limosilactobacillus oris	Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0154	order	0.491140086927449	8973	-0.0832331189441257	-0.123433912690078	-0.043032325198173	0.0205081823093427	4.98066975658829e-05	0.00314151395058995	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0759	order	0.0522679148556782	8973	0.0826777504773904	0.0427068027975899	0.122648698157191	0.0203909182859742	5.06440536115256e-05	0.00314151395058995	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Intestinimonas sp.	HG3A.1149	genus	0.0460269697982837	8973	0.0819206994405381	0.0419591461291002	0.121882252751976	0.0203861352945152	5.90668494485429e-05	0.00355296048955629	unclassified	unclassified	Intestinimonas	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Roseburia inulinivorans	HG3A.0036	species	0.950406775883205	8973	0.0816193571541749	0.0413017469887152	0.121936967319635	0.0205677730675235	7.29551688343065e-05	0.0042592944157676	unclassified	Roseburia inulinivorans	Roseburia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0092	order	0.772985623537279	8973	-0.0797294513517526	-0.119915014776885	-0.0395438879266202	0.0205004112944163	0.000101326382399808	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0373	order	0.180541624874624	8973	-0.0791922163416522	-0.119163264407083	-0.0392211682762211	0.0203909783673368	0.000103632159166654	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Streptococcus salivarius	HG3A.0071	species	0.952078457595007	8973	0.0795440869457632	0.0392925713432127	0.119795602548314	0.0205340574870992	0.00010793949975262	0.00562279912051955	unclassified	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.1303	order	0.0122589992198819	8973	0.0787766228234564	0.0388304100567894	0.118722835590123	0.0203783042630743	0.000111559559471255	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lactobacillus gasseri	HG3A.0884	species	0.115346038114343	8973	0.0789991999994692	0.0389032617131778	0.119095138285761	0.0204546892039525	0.000113191877445306	0.00562279912051955	unclassified	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0269	order	0.362309149671236	8973	-0.0795740515763846	-0.11996433356339	-0.0391837695893787	0.0206048479513436	0.000113305775728354	0.00562279912051955	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Flavonifractor plautii	HG3A.0079	species	0.921096623202942	8973	0.0788130164030844	0.0386400675820154	0.118985965224154	0.0204939760103692	0.000121067808862446	0.00586145367297451	unclassified	Flavonifractor plautii	Flavonifractor	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Acidaminococcus intestini	HG3A.0407	species	0.133400200601805	8973	0.0780054767110252	0.0379309150002735	0.118080038421777	0.0204437846080827	0.000136772541959523	0.00646413085213459	unclassified	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.1158	order	0.0191686169619971	8973	0.0773831471037753	0.0374250990708735	0.117341195136677	0.0203843088337523	0.0001479183389085	0.00682832331938076	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.0433	family	0.385601248189011	8973	0.0771054221541166	0.0370145818936476	0.117196262414586	0.0204520878369647	0.000164276179422726	0.00741109582168435	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0350	order	0.205171068761841	8973	-0.0770226409463881	-0.117162883693008	-0.036882398199768	0.0204772926390208	0.000170075679178755	0.00750222718155176	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Streptococcus mutans	HG3A.0677	species	0.297559344700769	8973	0.0759223128657962	0.0359098604996762	0.115934765231916	0.0204121008033237	0.000200870663414793	0.00849416527532949	unclassified	Streptococcus mutans	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Anaerotruncus colihominis	HG3A.0307	species	0.677922656859467	8973	0.0760427439170503	0.0359634519278489	0.116122035906252	0.0204461913931078	0.000201121293672789	0.00849416527532949	unclassified	Anaerotruncus colihominis	Anaerotruncus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.0930	family	0.1075448567926	8973	0.0757145911272505	0.0357078820050452	0.115721300249456	0.0204091712091127	0.000208666314357564	0.00862922154166177	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0087	order	0.775771759723615	8973	-0.075722518710587	-0.116205149666778	-0.0352398877543955	0.0206519598171736	0.000247234184659814	0.0100155072765251	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Firmicutes sp.	HG3A.1222	phylum	0.0176083806976485	8973	0.0745633297138305	0.0345712382608478	0.114555421166813	0.0204017136853904	0.00025891401118514	0.0102788862440501	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0207	family	0.382257884765407	8973	-0.0747396996316643	-0.114975596635513	-0.0345038026278155	0.0205260896278968	0.000272913333851724	0.0105765740683581	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp. PEA192	HG3A.0021	species	0.9839518555667	8973	0.075557671056885	0.0348378307017924	0.116277511411978	0.0207729707318423	0.000277068942848676	0.0105765740683581	unclassified	Oscillibacter sp. PEA192	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Bifidobacterium dentium	HG3A.0579	species	0.262231137858019	8973	0.0738854999636628	0.0339087455549195	0.113862254372406	0.0203938850452806	0.000292924839050538	0.010970864255006	unclassified	Bifidobacterium dentium	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
